PLANO;DESC MP;COD PRODUTO;PRODUTO;REFERENCIA;MATERIAL;MATERIAL MP;LARGURA;LARG;COMPRIMENTO;COMP;QTDE PLC;ORDEM;COD BARRA;ESPESSURA;VEIO;ID ORD PLANO;DT LOTE;NUM LOTE;PAP PLAST;COD MP;MASC ID MP;BORDA;FURACAO;COD BARRA ORD;QTDE ORD;G TOTAL GERAL
4719;CHAPA MDP BP 2F 15 MM;5772;PAINEL 15MM P/ RIPADO 18MM;;MDP^BP^FRIT;OLMO ITALIANO;1080;1080;2730;2730;1;180820281;ORD9516513;15;;;2023-08-30T16:39:45.921495;4719;;;;2,2,BORDA;SIM;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SARO;SAL ROSA MATT;150;150;2600;2600;1;180817197;ORD9516475;25;;;2023-08-30T16:39:45.849447;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^OASI;OASIS ESSENCIAL WOOD;150;150;2061;2061;1;180816625;ORD9511419;25;;;2023-08-30T16:39:45.776791;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;460;460;534;534;1;180816494;ORD9516493;15;;;2023-08-30T16:39:45.704328;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^NIQU;BETON MATT;300;300;319;319;1;180816483;ORD9516504;15;;;2023-08-30T16:39:45.636567;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;497;497;590;590;1;180816324;ORD9516992;15;;;2023-08-30T16:39:45.563311;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^TANN;WOOD CASTANHO TANNAT;360;360;614;614;2;180816167;ORD9510401;25;;;2023-08-30T16:39:45.484920;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^TANN;WOOD CASTANHO TANNAT;400;400;1085;1085;1;180816163;ORD9510405;25;;;2023-08-30T16:39:45.408423;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SARO;SAL ROSA MATT;80;80;2365;2365;1;180815877;ORD9517291;25;;;2023-08-30T16:39:45.333372;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDF BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDF^BP^AMRU;AMRU;80;80;838;838;1;180815572;ORD9512070;25;;;2023-08-30T16:39:45.256637;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^FRIT;OLMO ITALIANO;100;100;1470;1470;1;180815537;ORD9517071;25;;;2023-08-30T16:39:45.184488;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDF BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDF^BP^CANA;NATURAL JADE;416;416;2730;2730;1;180815469;ORD9517949;15;;;2023-08-30T16:39:45.111905;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^VANI;OFF WHITE VELLUTO;450;450;1650;1650;1;180815428;ORD9511396;25;;;2023-08-30T16:39:45.041819;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;80;80;339;339;1;180815298;ORD9518949;25;;;2023-08-30T16:39:44.964253;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^FRIT;OLMO ITALIANO;90;90;2730;2730;1;180815253;ORD9512323;25;;;2023-08-30T16:39:44.886344;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^TAWO;NOGUEIRA VENETO;80;80;2730;2730;1;180815020;ORD9518661;15;;;2023-08-30T16:39:44.811294;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SOFT;NUDE VEL;80;80;1390;1390;1;180814936;ORD9518724;25;;;2023-08-30T16:39:44.733638;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SOFT;NUDE VEL;80;80;1000;1000;1;180814878;ORD9512880;25;;;2023-08-30T16:39:44.657833;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;80;80;499;499;1;180814801;ORD9512135;15;;;2023-08-30T16:39:44.583433;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;80;80;1300;1300;1;180814787;ORD9518805;25;;;2023-08-30T16:39:44.499119;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;80;80;699;699;1;180814703;ORD9519786;15;;;2023-08-30T16:39:44.422169;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SOFT;NUDE VEL;80;80;675;675;1;180814550;ORD9513141;15;;;2023-08-30T16:39:44.344038;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDF BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDF^BP^GFTT;GRAFITO CHESS;150;150;2730;2730;1;180814411;ORD9519049;15;;;2023-08-30T16:39:44.267270;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SAGR;CINZA SAGRADO;620;620;2330;2330;1;180814379;ORD9512788;15;;;2023-08-30T16:39:44.183076;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^MORU;TINTO TREND;360;360;600;600;1;180814279;ORD9519615;15;;;2023-08-30T16:39:44.100650;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDF BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDF^BP^GFTT;GRAFITO CHESS;220;220;2730;2730;1;180814229;ORD9512888;15;;;2023-08-30T16:39:44.024162;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SUPR;BRANCO SUPREMO CHESS;200;200;2730;2730;1;180814193;ORD9517904;15;;;2023-08-30T16:39:43.944533;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^TANN;WOOD CASTANHO TANNAT;360;360;1251;1251;1;180814190;ORD9517907;25;;;2023-08-30T16:39:43.868498;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^TANN;WOOD CASTANHO TANNAT;360;360;1201;1201;1;180814189;ORD9517908;25;;;2023-08-30T16:39:43.784950;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;420;420;413;413;1;180814174;ORD9518737;15;;;2023-08-30T16:39:43.705038;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^TANN;WOOD CASTANHO TANNAT;250;250;1650;1650;1;180814097;ORD9519728;25;;;2023-08-30T16:39:43.629544;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;520;520;675;675;1;180813926;ORD9520746;15;;;2023-08-30T16:39:43.554990;4719;;;;2,2,BORDA;;;;
4719;CHAPA MDP BP 2F 18 MM;2140;PAINEL EDITAVEL REVEST INUS;;MDP^BP^LANA;LANA CONCEITO;500;500;675;675;1;180813916;ORD9520756;18;;;2023-08-30T16:39:43.477907;4719;;;;2,2,BORDA;;;;
