PLANO;DESC MP;COD PRODUTO;PRODUTO;REFERENCIA;MATERIAL;MATERIAL MP;LARGURA;LARG;COMPRIMENTO;COMP;QTDE PLC;ORDEM;COD BARRA;ESPESSURA;VEIO;ID ORD PLANO;DT LOTE;NUM LOTE;PAP PLAST;COD MP;MASC ID MP;BORDA;FURACAO;COD BARRA ORD;QTDE ORD;G TOTAL GERAL
4839;CHAPA MDP BP 2F 15 MM;107583;LATERAL DIR BALC 4 GAV BX ORIZONTALLE;;MDP^BP^VANI;OFF WHITE VELLUTO;720;720;500;500;1;182419115;ORD9757793;15;;;2023-10-26T16:30:50.794033;4839;;;;1,2,BORDA;SIM;153585688;;
4839;CHAPA MDP BP 2F 15 MM;5420;CONTRA FRENTE / FUNDO INVISIVEL INF EDITAVEL;;MDP^BP^VANI;OFF WHITE VELLUTO;195;195;622;622;1;182409309;ORD9777205;15;;;2023-10-26T16:27:12.896307;4839;;;;2,1,BORDA;SIM;153679853;;
4831;;1;CONTRA FRENTE GAV BX/ALT TELESC INVIS IN;;;;100;100;313;313;1;0;;15;;;2023-10-26T16:25:54.377049;4831;;;;;;;;
4831;CHAPA MDF BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDF^BP^GFTT;GRAFITO CHESS;640;640;880;880;1;182306886;ORD9738195;15;;;2023-10-26T16:24:37.542015;4831;;;;2,2,BORDA;;;;
4831;CHAPA MDP BP 2F 15 MM;5463;SUPORTE COZ INF EDITAVEL RLZZ;;MDP^BP^SOFT;NUDE VEL;70;70;389;389;1;182313353;ORD9751742;15;;;2023-10-26T16:24:13.974491;4831;;;;0,2,BORDA;;;;
4831;CHAPA TERCEIRIZADA;102061;FUNDO GAV. INTERNA P/ MOD.;;MDP^BP^SOFT;NUDE VEL;559;559;447;447;1;182321144;ORD9740237;3;;;2023-10-26T16:23:28.030567;4831;;;;0,0,BORDA;;;;
4831;CHAPA MDP BP 2F 15 MM;102070;CONTRA FUNDO GAV.INT. P/MOD;;MDP^BP^BRAN;BRAN;150;150;849;849;1;182321163;ORD9740270;15;;;2023-10-26T16:22:59.916965;4831;;;;0,1,BORDA;SIM;;;
4831;CHAPA MDP BP 2F 15 MM;102623;TRAVESSA COLUN.TRAS S/ REB.CTO ART;;MDP^BP^BRAN;BRAN;100;100;2500;2500;1;182315921;ORD9742091;15;;;2023-10-26T16:22:32.553130;4831;;;;0,1,BORDA;SIM;;;
4831;CHAPA MDP BP 2F 15 MM;110767;LATERAL ESQ/DIR NICHO EDITAVEL IN;;MDP^BP^BRAN;BRAN;570;570;770;770;1;182321617;ORD9739309;15;;;2023-10-26T16:22:01.409141;4831;;;;2,1,BORDA;SIM;;;
4831;CHAPA MDP BP 2F 15 MM;100533;BASE/CHAPEU ARM SUPERIOR;;MDP^BP^FRIT;OLMO ITALIANO;340;340;869;869;2;182314524;ORD9741957;15;;;2023-10-26T16:21:36.341231;4831;;;;0,1,BORDA;SIM;;;
4831;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;95;95;1570;1570;1;182308856;ORD9744239;15;;;2023-10-26T16:21:07.806899;4831;;;;2,2,BORDA;;;;
4831;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SOFT;NUDE VEL;80;80;720;720;1;182305926;ORD9735898;15;;;2023-10-26T16:20:38.536617;4831;;;;2,2,BORDA;;;;
4831;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;570;570;720;720;1;182305222;ORD9735148;15;;;2023-10-26T16:20:11.024969;4831;;;;2,2,BORDA;;;;
4831;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^JEQT;JEQUITIBA ROSA;80;80;2645;2645;1;182306596;ORD9735929;15;;;2023-10-26T16:19:43.552286;4831;;;;2,2,BORDA;;;;
4831;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^JEQT;JEQUITIBA ROSA;400;400;725;725;1;182306589;ORD9735922;25;;;2023-10-26T16:19:21.048264;4831;;;;2,2,BORDA;;;;
4831;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SOFT;NUDE VEL;365;365;835;835;1;182305460;ORD9740607;15;;;2023-10-26T16:18:54.742330;4831;;;;2,2,BORDA;;;;
4856;CHAPA MDP BP 2F 15 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^ITAP;ESSENCIAL ITAPUA;520;520;1734;1734;1;182597928;ORD9805220;15;;;2023-10-26T16:02:43.024348;4856;;;;2,2,BORDA;;;;
4856;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^ITAP;ESSENCIAL ITAPUA;100;100;1640;1640;1;182597940;ORD9805205;25;;;2023-10-26T16:00:44.443211;4856;;;;2,2,BORDA;;;;
4839;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^SOFT;NUDE VEL;650;650;2333;2333;1;182407129;ORD9771842;25;;;2023-10-26T15:59:26.977969;4839;;;;2,2,BORDA;;153663131;;
4839;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^NIQU;BETON MATT;400;400;2350;2350;1;182406979;ORD9759544;25;;;2023-10-26T15:59:03.386623;4839;;;;2,2,BORDA;;153598482;;
4839;CHAPA MDP BP 2F 25 MM;2141;PAINEL EDITAVEL REVEST RLZZ;;MDP^BP^BRAN;BRAN;80;80;375;375;1;182404816;ORD9760462;25;;;2023-10-26T15:58:41.614654;4839;;;;2,2,BORDA;;153606759;;
